"","Team","Wins","Draws","Losses","Points","GD","TGS","TGC","HGS","HGC","AGS","AGC"
"1","Arsenal",15,5,3,50,25,42,17,2.33333333333333,0.666666666666667,1.27272727272727,0.818181818181818
"2","Aston Villa",14,4,5,46,10,35,25,1.63636363636364,0.818181818181818,1.41666666666667,1.33333333333333
"3","Bournemouth",7,9,7,30,-5,38,43,1.58333333333333,1.08333333333333,1.72727272727273,2.72727272727273
"4","Brentford",10,3,10,33,3,35,32,1.91666666666667,1,1.09090909090909,1.81818181818182
"5","Brighton",7,9,7,30,2,33,31,1.72727272727273,1.09090909090909,1.16666666666667,1.58333333333333
"6","Burnley",3,6,14,15,-19,25,44,1,1.41666666666667,1.18181818181818,2.45454545454545
"7","Chelsea",10,7,6,37,14,39,25,1.54545454545455,1,1.83333333333333,1.16666666666667
"8","Crystal Palace",7,7,9,28,-4,24,28,0.916666666666667,1.25,1.18181818181818,1.18181818181818
"9","Everton",9,5,8,32,-1,24,25,1.27272727272727,1.36363636363636,0.909090909090909,0.909090909090909
"10","Fulham",10,4,9,34,0,32,32,1.75,1.16666666666667,1,1.63636363636364
"11","Leeds",6,7,9,25,-7,30,37,1.72727272727273,1.18181818181818,1,2.18181818181818
"12","Liverpool",10,6,7,36,3,35,32,1.45454545454545,1,1.58333333333333,1.75
"13","Man City",14,4,5,46,26,47,21,2.41666666666667,0.666666666666667,1.63636363636364,1.18181818181818
"14","Man United",10,8,5,38,7,41,34,1.81818181818182,1.18181818181818,1.75,1.75
"15","Newcastle",9,6,8,33,3,32,29,1.83333333333333,1.41666666666667,0.909090909090909,1.09090909090909
"16","Nott'm Forest",7,4,12,25,-11,23,34,1.09090909090909,1.54545454545455,0.916666666666667,1.41666666666667
"17","Sunderland",8,9,6,33,-2,24,26,1.63636363636364,0.818181818181818,0.5,1.41666666666667
"18","Tottenham",7,7,9,28,2,33,31,1.18181818181818,1.27272727272727,1.66666666666667,1.41666666666667
"19","West Ham",5,5,13,20,-18,27,45,1.33333333333333,2.16666666666667,1,1.72727272727273
"20","Wolves",1,5,17,8,-28,15,43,0.909090909090909,2.09090909090909,0.416666666666667,1.66666666666667
